question_id,question,category,difficulty,success,execution_time,sql_generated,error
20,What is the total number of post reactions by campaign?,engagement_analysis,easy,False,5.407344579696655,,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4 in organization org-voYyxsXqwkJ7iAkDEN0DXNxP on tokens per min (TPM): Limit 10000, Used 9812, Requested 206. Please try again in 108ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
21,Show campaigns with CTR above 2.5%,performance_filtering,easy,True,8.087143421173096,"SELECT Campaign_Name, CTR 
FROM meta_campaigns 
WHERE CTR > 2.5;",
22,What is the cost per thousand impressions (CPM) by placement?,efficiency_metrics,medium,True,10.652571439743042,"SELECT Placement, (SUM(Spend) / SUM(Impressions)) * 1000 AS CPM
FROM meta_campaigns
GROUP BY Placement",
23,Which objective generates the most conversions?,performance_ranking,easy,True,6.3448028564453125,"SELECT Objective, SUM(Conversions) as Total_Conversions
FROM meta_campaigns
GROUP BY Objective
ORDER BY Total_Conversions DESC
LIMIT 1;",
24,Show month-over-month revenue growth,time_series,hard,True,12.676899909973145,"SELECT 
    DATE_TRUNC('MONTH', CAST(Date AS DATE)) AS Month, 
    SUM(Revenue) AS Monthly_Revenue, 
    (SUM(Revenue) - LAG(SUM(Revenue)) OVER (ORDER BY DATE_TRUNC('MONTH', CAST(Date AS DATE)))) / LAG(SUM(Revenue)) OVER (ORDER BY DATE_TRUNC('MONTH', CAST(Date AS DATE))) * 100 AS Revenue_Growth_Percentage
FROM 
    meta_campaigns
GROUP BY 
    DATE_TRUNC('MONTH', CAST(Date AS DATE))
ORDER BY 
    DATE_TRUNC('MONTH', CAST(Date AS DATE));",
25,What is the average AOV by age group?,demographic_analysis,medium,True,3.8083789348602295,"SELECT Age, AVG(AOV) as Average_AOV
FROM meta_campaigns
GROUP BY Age",
26,"Compare engagement metrics (reactions, comments, shares) by placement",engagement_analysis,medium,True,8.604337453842163,"SELECT Placement, SUM(Post_Reactions) AS Total_Reactions, SUM(Post_Comments) AS Total_Comments, SUM(Post_Shares) AS Total_Shares
FROM meta_campaigns
GROUP BY Placement;",
27,Which campaigns have the lowest CPC?,efficiency_metrics,easy,True,10.777489423751831,"SELECT Campaign_Name, MIN(CPC) as Lowest_CPC
FROM meta_campaigns
GROUP BY Campaign_Name
ORDER BY Lowest_CPC ASC",
28,Show total reach by gender and age,demographic_analysis,medium,True,9.496884107589722,"SELECT Gender, Age, SUM(Reach) as Total_Reach
FROM meta_campaigns
GROUP BY Gender, Age;",
29,What is the video view rate by device?,video_analysis,medium,True,6.450789928436279,"SELECT Device, SUM(Video_Views) / SUM(Impressions) AS Video_View_Rate
FROM meta_campaigns
GROUP BY Device",
30,"Show campaigns where spend exceeds $50,000",performance_filtering,easy,True,6.757596969604492,"SELECT Campaign_Name 
FROM meta_campaigns 
WHERE Spend > 50000;",
